id	new_id	sample	age	age_category	latitude	longitude	phyto	forest	carbon	nitrogen	c_n	remnant	forest_proximity	forest_density	crop_type	crop_year	soil_type	topo	altitude	agb	tree_richness	tree_shannon	tree_simpson	cluster
FOUM_3_1	Foumbou_3_1-10	Foumbou_1	11	11-20	8.913606	-6.092895	Dry	Foumbou	1.38333308696747	0.0837912783026695	16.5092729814983	4	300	6	coton	1	argileux	plateau	371	6.86527317377842	19	8.47723234219932	5.74979107278694	1
FOUM_7_2	Foumbou_7_1-10	Foumbou_2	8	1-10	8.908948	-6.111877	Dry	Foumbou	1.24132001399994	0.0769286900758743	16.1359827234239	0	500	0	coton	1	argileux	pente	366	3.01043606095284	12	6.21694028878932	5.06285955396661	1
FOUM_8_2	Foumbou_8_1-10	Foumbou_3	39	30-sup	8.908425	-6.110554	Dry	Foumbou	1.49375915527344	0.0894287973642349	16.7033349357199	0	500	0	igname	1	argileux	plateau	375	95.7711382063554	38	22.7869964583484	17.5949707940803	1
FOUM_17_2	Foumbou_17_1-10	Foumbou_4	OF	OF	8.917894	-6.091945	Dry	Foumbou	3.72573614120483	0.231929764151573	16.0640707536354						argileux	plateau	382	226.83154960938	39	13.1007777893962	7.51364330267035	1
FOUM_14_2	Foumbou_14_1-10	Foumbou_5	29	21-30	8.908643	-6.095611	Dry	Foumbou	2.47730994224548	0.155486166477203	15.9326710431741	6	90	3	igname	1	ferrugineux	plateau	380	16.1802231635645	32	13.7459925394437	8.60112059002641	1
NI_3_1	Niegre_3_1-10	Niegre_1	10	1-10	5.101568	-6.131271	Evergreen	Niegre	3.71873903274536	0.270775467157364	13.7336630669874	20	500	0	cacao	1	ferralitique	pente	108	14.5833021644353	101	25.7042707553514	10.3999061630467	2
NI_7_2	Niegre_7_1-10	Niegre_2	OF	OF	5.095785	-6.157914	Evergreen	Niegre	1.89730775356293	0.175480276346207	10.8120855122185						ferralitique	plateau	37	113.610525067588	73	33.9954808544719	20.4372057249867	2
NI_13_2	Niegre_13_1-10	Niegre_3	19	11-20	5.097697	-6.180367	Evergreen	Niegre	1.31895959377289	0.100106738507748	13.1755325708749	0	500	3	cacao	36	hydromorphe	bas fond	59	4.78845490804955	9	4.26478013636567	2.84395318595579	2
NI_16_2	Niegre_16_1-10	Niegre_4	35	30-sup	5.123618	-6.190479	Evergreen	Niegre	3.78942894935608	0.278968065977097	13.583737393323	6	300	1	cacao	40	ferralitique	pente	77	64.7795953541248	54	16.0586574550895	6.19037633770155	2
NI_19_1	Niegre_19_1-10	Niegre_5	26	21-30	5.1401	-6.188123	Evergreen	Niegre	2.65837717056274	0.182520240545273	14.5648349060955	5	500	0	cacao	33	ferralitique	pente	72	17.8162622426085	92	17.5456917385883	10.351631301747	2
