	Domain	Phylum	Class	Order	Family	Genus
3e2d0c500700da46c435f5517be95b3c78556580	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
dc2da102033dbd9f083e168e637d1a2b8d5646db	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Gottfriedia
1d016e7acea393399895bc74951536794e83f59d	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Gottfriedia
f86f6b07d505cf6f84bfbb268d7bc034151531c2	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
80acf5028ed61880c52edadee1cc0c122067a80b	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
74454b348c69f3746202ba306079ef67d8c8f1f0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
09a07dd82d7c8905aa12c9f7b555f95f844541cd	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
21fb8476b6556c899ce020fdc1a8ada026df9901	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Alsobacteraceae	Alsobacter
6928b7a24c808a20492b78c9e3b7e871e8b704a8	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
729caf587239e66b0da68453d42d7b9db8ff188a	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus
f45086802eeaf57eda2dff923e76be11a6241fc2	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
917ac8f192ba5459704840ff433fe2793fca4007	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Gottfriedia
356d4906cbd20438256344b0fb01bce9d82dc8f5	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Peribacillus
df2aaebef572ed3a3268b950c3a2eb7bfdc1d403	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Pseudolabrys
11881d9d6662f597811bc45ac9bcb86aa62c6971	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
44bbd747fc8f02b247c7cb368756c27373ecc836	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Gottfriedia
72b11b8701008955ae11f6d91eab7ed8dfdd9b08	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Alsobacteraceae	Alsobacter
12507eb5222dc3a8be42e595dc03c8f5160e5192	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Gottfriedia
7020ddd51c9dc0010bcd394271c69eefd94d8468	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
66d89c4e3ad337de0eee984907c6d169c907e72c	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus
08679baf8c3cb35f5a8dc8965a202798972493a0	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter
ba4b1808a2dd0cd2ac65d1aa97cca5e8cb52ba45	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
9010de17433678278d22031c8574162481ea77e3	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Pseudolabrys
ebca354de9844b4d700bdff934a5ddf290606e1f	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Pseudolabrys
32ab2775a90c30601f5cafc2609fea9cc6cb6e15	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
e1972b9997fb72afe0dc5f2d4c54d3a353f3a784	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Undibacter
f00ed5d5652f69762bbd54f252e7a7e22cf3022c	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
e37191f7b8c28600eec0a7daeae36031813ddf43	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
feed75e9ee68f7500d3918f136abc6f36e273bd1	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
c45d24a69e9ca100e42215f0e4470a9835707f7b	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
ee82886e0dc4ff99f059f4eef83653e8943262ec	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	Gp1	Gp1
be7ad3478ecbfa69680bfef3272c6b7f97e65a91	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
11f189d181cd5d17a0367f809f9559f9c82c59c0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Pseudorhodoplanes
24ba85af80e3546a9613feec965d9f62c7cbe776	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
c6338a60a484212350feb1f622114f18a6507c58	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter
5973702e00637cdb689d500b573b770d3a37da38	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
273179eb6aef3a8001f6f07f6ebf093c3b651b87	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Methyloceanibacter
d915eab0d9b59d7801bb6326c303a1f33252f33e	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
7676b78e375b6eec50a93483e9ada9cadb232839	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Peribacillus
e38b485199f700684a1545101211714100370c91	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
42116c0acb06b6e2c742bb13d9b41d6d60510524	Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfocarbo
ddb196519c0511decdf652593ba98244aeeb623f	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Peribacillus
814429ce330d2d185e909c1bd607de47b70c411c	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
169022e205e16dd8e7e96a16f317ac3b2772ab85	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	Gp2	Gp2
8b4e26bd54c37745cab6e5c3a6e97b1336791c4c	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Parvibaculaceae	Rhodoligotrophos
8b79bf8a3e3ec80bd0c41761f5ad090c98986e57	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
3281e37119fe058b33a426268a78f7a4ada96fcb	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Pedomicrobium
4667b793defcd4dfe871ab21d3896b3a2d5ad2e4	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus
b3b2508a795cf2ae1949eff8c8e29aa3dd7166a2	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter
9e5f8c739fb6c8785f16c3b9ff77644dc785dca2	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
746b879098caca1edd25e1cd0754222a53c55c4a	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus
9aa7175f9a1d43c0f13deadcb7a8afd0f9bdbc63	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Deserticella
d895e847d33b5fa4da79e358691dec9cd2676bc9	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
64d9244431dfe71289be7f3beb1f9eacd534f0c4	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
a7993ebfa6a6b5073a201e76bfe7b185e1849614	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
e666fff32cd459895f720f0461c061e82b92de29	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus
883b4447dbdbc420bfb6c20aa54911763cfa6bbd	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
0c3ff710e40b2f872e898f6da09cb0ecac85ef02	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
59c75378dd058730f6dd48fe04f0e753a3054941	Bacteria	Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Oxalophagus
5e05c734bfbc94a3831fc6fd022e2dec50f894bc	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	Gp1	Gp1
f6103b735979ce7fd38ab6964ce812face8b936e	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
db08309d089e7833688a1ef552b169443b140552	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
