	FOUM_7_2	HS_16_2	TE_6_43_1	BAD_18_1	IR_7_1	HS_7_1	FOUM_3_1	IR_13_1	NI_13_2	BAD_8_1	BAD_3_1	FOUM_14_2	BAD_14_2	HS_18_2	NI_16_2	TE_1_10_1_2	IR_4_2	NI_3_1	IR_10_2	HS_FA_2_2	TE_FA_1_1	NI_7_2	NI_19_1	BAD_1_1	IR_17_1	TE_21_30_1_1	TE_11_20_1_2	FOUM_8_2	HS_3_1	FOUM_17_2
VTX00089	0	1310	2025	0	11353	3052	2	9518	645	590	1	3089	1	3017	742	0	2194	2407	1399	503	0	1	1067	0	639	0	0	2	27	0
VTX00180	0	2509	3980	0	525	7486	1	841	6718	319	0	0	4	2388	1112	2186	68	538	978	217	3	0	504	0	1243	481	0	4	239	0
VTX00126	0	0	229	10017	2302	0	6281	113	28	223	1	6297	1430	1	895	1	1848	379	78	4	0	0	723	1	30	0	0	0	0	1
VTX00399	1	15950	761	25	30	2691	150	756	59	274	1	4	277	607	350	103	0	1026	205	317	0	57	692	0	128	193	66	44	414	0
VTX00132	19396	0	0	131	0	0	452	0	110	271	60	75	197	0	1	176	0	0	0	0	562	37	0	258	15	15	154	0	0	0
VTX00080	0	1699	6961	21	904	455	527	603	0	110	0	6	423	2325	340	27	128	2211	514	2525	0	6	737	0	201	65	68	3	132	0
VTX00181	0	785	4426	0	107	2144	0	1018	555	225	1	0	1	572	108	737	14	63	2235	475	1	2	103	0	127	239	0	1	76	0
VTX00167	9184	1	699	0	0	0	1244	0	0	392	1	73	11	0	0	3	0	0	0	0	61	406	0	0	210	55	11	490	0	0
VTX00410	0	0	14	2245	1318	0	670	0	497	1708	2473	114	636	47	2	210	0	0	0	0	153	1041	0	0	76	0	29	477	0	0
VTX00093	0	1511	384	851	181	437	147	269	218	1005	77	610	203	379	12	67	1728	278	72	255	87	140	9	0	58	18	726	1	6	0
VTX00101	3085	30	588	43	501	27	162	789	0	1588	0	556	46	0	371	220	184	84	689	0	0	33	100	0	114	100	0	313	0	0
VTX00026	0	27	0	0	2	3	59	10	0	43	0	11	980	8	0	2972	0	0	0	0	2946	2	0	0	186	0	0	1	5	0
VTX00215	0	810	800	662	1	445	162	358	0	731	130	56	301	432	151	236	1	490	165	193	49	38	259	1	54	469	2	3	58	0
VTX00096	0	397	449	650	297	344	37	228	1523	264	15	51	69	187	1	5	862	453	102	322	18	422	2	0	62	3	0	3	8	0
VTX00446	0	0	8	0	0	0	1328	0	82	213	898	32	1036	1	1	533	0	0	0	0	467	270	0	487	7	16	150	0	1	0
VTX00103	0	16	0	0	0	0	561	127	354	1	0	18	289	6	1440	27	0	832	0	0	0	0	506	0	65	77	0	0	113	0
VTX00063	0	0	734	0	0	0	835	0	493	20	120	110	295	0	1	145	0	0	0	0	638	152	0	0	332	33	89	0	0	0
VTX00255	0	0	0	28	45	129	605	0	13	235	2005	147	337	3	0	0	0	0	7	55	0	0	16	0	252	0	0	0	0	0
VTX00092	1	2	598	19	34	16	480	0	622	7	0	1	0	41	817	0	0	52	42	88	226	63	302	0	117	60	57	0	57	0
